School Year,Division Number,Division Name,Subject,Test Level,Test Source,Test,Total Count,Pass Rate
2009-2010,2,Albemarle County,English:Reading,Grade 5,SOL,English Reading,889,94.71
2009-2010,2,Albemarle County,English:Reading,Grade 6,SOL,English Reading,891,89.9
2009-2010,2,Albemarle County,English:Reading,Grade 7,SOL,English Reading,890,91.12
2009-2010,2,Albemarle County,English:Reading,Grade 8,SOL,English Reading,868,95.51
2009-2010,104,Charlottesville City,English:Reading,Grade 3,SOL,English Reading,263,84.79
2009-2010,104,Charlottesville City,English:Reading,Grade 4,SOL,English Reading,265,80.75
2009-2010,104,Charlottesville City,English:Reading,Grade 5,SOL,English Reading,259,75.29
2009-2010,104,Charlottesville City,English:Reading,Grade 6,SOL,English Reading,230,78.7
2009-2010,104,Charlottesville City,English:Reading,Grade 7,SOL,English Reading,209,79.9
2009-2010,104,Charlottesville City,English:Reading,Grade 8,SOL,English Reading,226,83.63
2009-2010,32,Fluvanna County,English:Reading,Grade 3,SOL,English Reading,272,71.69
2009-2010,32,Fluvanna County,English:Reading,Grade 4,SOL,English Reading,263,79.09
2009-2010,32,Fluvanna County,English:Reading,Grade 5,SOL,English Reading,272,87.13
2009-2010,32,Fluvanna County,English:Reading,Grade 6,SOL,English Reading,273,84.62
2009-2010,32,Fluvanna County,English:Reading,Grade 7,SOL,English Reading,288,88.54
2009-2010,32,Fluvanna County,English:Reading,Grade 8,SOL,English Reading,260,90
2009-2010,39,Greene County,English:Reading,Grade 3,SOL,English Reading,215,70.7
2009-2010,39,Greene County,English:Reading,Grade 4,SOL,English Reading,227,81.5
2009-2010,39,Greene County,English:Reading,Grade 5,SOL,English Reading,238,86.13
2009-2010,39,Greene County,English:Reading,Grade 6,SOL,English Reading,186,79.03
2009-2010,39,Greene County,English:Reading,Grade 7,SOL,English Reading,207,85.02
2009-2010,39,Greene County,English:Reading,Grade 8,SOL,English Reading,208,87.02
2009-2010,54,Louisa County,English:Reading,Grade 3,SOL,English Reading,337,82.79
2009-2010,54,Louisa County,English:Reading,Grade 4,SOL,English Reading,310,83.23
2009-2010,54,Louisa County,English:Reading,Grade 5,SOL,English Reading,275,92.73
2009-2010,54,Louisa County,English:Reading,Grade 6,SOL,English Reading,342,88.01
2009-2010,54,Louisa County,English:Reading,Grade 7,SOL,English Reading,316,89.24
2009-2010,54,Louisa County,English:Reading,Grade 8,SOL,English Reading,294,88.1
2009-2010,62,Nelson County,English:Reading,Grade 3,SOL,English Reading,147,85.71
2009-2010,62,Nelson County,English:Reading,Grade 4,SOL,English Reading,140,87.14
2009-2010,62,Nelson County,English:Reading,Grade 5,SOL,English Reading,137,91.97
2009-2010,62,Nelson County,English:Reading,Grade 6,SOL,English Reading,159,93.08
2009-2010,62,Nelson County,English:Reading,Grade 7,SOL,English Reading,116,90.52
2009-2010,62,Nelson County,English:Reading,Grade 8,SOL,English Reading,145,86.9
2010-2011,2,Albemarle County,English:Reading,Grade 3,SOL,English Reading,967,86.35
2010-2011,2,Albemarle County,English:Reading,Grade 4,SOL,English Reading,962,88.57
2010-2011,2,Albemarle County,English:Reading,Grade 5,SOL,English Reading,975,92.31
2010-2011,2,Albemarle County,English:Reading,Grade 6,SOL,English Reading,945,91.53
2010-2011,2,Albemarle County,English:Reading,Grade 7,SOL,English Reading,939,91.48
2010-2011,2,Albemarle County,English:Reading,Grade 8,SOL,English Reading,937,94.02
2010-2011,104,Charlottesville City,English:Reading,Grade 3,SOL,English Reading,302,87.75
2010-2011,104,Charlottesville City,English:Reading,Grade 4,SOL,English Reading,264,89.39
2010-2011,104,Charlottesville City,English:Reading,Grade 5,SOL,English Reading,249,75.5
2010-2011,104,Charlottesville City,English:Reading,Grade 6,SOL,English Reading,267,80.52
2010-2011,104,Charlottesville City,English:Reading,Grade 7,SOL,English Reading,223,77.58
2010-2011,104,Charlottesville City,English:Reading,Grade 8,SOL,English Reading,237,78.9
2010-2011,32,Fluvanna County,English:Reading,Grade 3,SOL,English Reading,278,79.86
2010-2011,32,Fluvanna County,English:Reading,Grade 4,SOL,English Reading,273,82.42
2010-2011,32,Fluvanna County,English:Reading,Grade 5,SOL,English Reading,267,80.9
2010-2011,32,Fluvanna County,English:Reading,Grade 6,SOL,English Reading,263,82.51
2010-2011,32,Fluvanna County,English:Reading,Grade 7,SOL,English Reading,291,85.22
2010-2011,32,Fluvanna County,English:Reading,Grade 8,SOL,English Reading,314,91.08
2010-2011,39,Greene County,English:Reading,Grade 3,SOL,English Reading,220,77.27
2010-2011,39,Greene County,English:Reading,Grade 4,SOL,English Reading,215,81.86
2010-2011,39,Greene County,English:Reading,Grade 5,SOL,English Reading,239,83.26
2010-2011,39,Greene County,English:Reading,Grade 6,SOL,English Reading,232,83.62
2010-2011,39,Greene County,English:Reading,Grade 7,SOL,English Reading,189,85.71
2010-2011,39,Greene County,English:Reading,Grade 8,SOL,English Reading,224,92.41
2010-2011,54,Louisa County,English:Reading,Grade 3,SOL,English Reading,342,78.65
2010-2011,54,Louisa County,English:Reading,Grade 4,SOL,English Reading,349,83.09
2010-2011,54,Louisa County,English:Reading,Grade 5,SOL,English Reading,346,87.57
2010-2011,54,Louisa County,English:Reading,Grade 6,SOL,English Reading,310,82.26
2010-2011,54,Louisa County,English:Reading,Grade 7,SOL,English Reading,361,82.83
2010-2011,54,Louisa County,English:Reading,Grade 8,SOL,English Reading,366,86.34
2010-2011,62,Nelson County,English:Reading,Grade 3,SOL,English Reading,141,80.85
2010-2011,62,Nelson County,English:Reading,Grade 4,SOL,English Reading,151,82.12
2010-2011,62,Nelson County,English:Reading,Grade 5,SOL,English Reading,148,85.81
2010-2011,62,Nelson County,English:Reading,Grade 6,SOL,English Reading,142,88.03
2010-2011,62,Nelson County,English:Reading,Grade 7,SOL,English Reading,157,92.99
2010-2011,62,Nelson County,English:Reading,Grade 8,SOL,English Reading,135,93.33
2011-2012,2,Albemarle County,English:Reading,Grade 3,SOL,English Reading,925,85.62
2011-2012,2,Albemarle County,English:Reading,Grade 4,SOL,English Reading,961,89.28
2011-2012,2,Albemarle County,English:Reading,Grade 5,SOL,English Reading,941,87.14
2011-2012,2,Albemarle County,English:Reading,Grade 6,SOL,English Reading,978,92.84
2011-2012,2,Albemarle County,English:Reading,Grade 7,SOL,English Reading,958,91.44
2011-2012,2,Albemarle County,English:Reading,Grade 8,SOL,English Reading,940,92.34
2011-2012,104,Charlottesville City,English:Reading,Grade 3,SOL,English Reading,296,89.86
2011-2012,104,Charlottesville City,English:Reading,Grade 4,SOL,English Reading,297,87.54
2011-2012,104,Charlottesville City,English:Reading,Grade 5,SOL,English Reading,251,85.66
2011-2012,104,Charlottesville City,English:Reading,Grade 6,SOL,English Reading,249,81.53
2011-2012,104,Charlottesville City,English:Reading,Grade 7,SOL,English Reading,260,85
2011-2012,104,Charlottesville City,English:Reading,Grade 8,SOL,English Reading,222,81.53
2011-2012,32,Fluvanna County,English:Reading,Grade 3,SOL,English Reading,294,83.67
2011-2012,32,Fluvanna County,English:Reading,Grade 4,SOL,English Reading,285,84.21
2011-2012,32,Fluvanna County,English:Reading,Grade 5,SOL,English Reading,269,85.13
2011-2012,32,Fluvanna County,English:Reading,Grade 6,SOL,English Reading,271,82.66
2011-2012,32,Fluvanna County,English:Reading,Grade 7,SOL,English Reading,271,86.72
2011-2012,32,Fluvanna County,English:Reading,Grade 8,SOL,English Reading,307,87.3
2011-2012,39,Greene County,English:Reading,Grade 3,SOL,English Reading,243,79.42
2011-2012,39,Greene County,English:Reading,Grade 4,SOL,English Reading,217,83.41
2011-2012,39,Greene County,English:Reading,Grade 5,SOL,English Reading,212,78.77
2011-2012,39,Greene County,English:Reading,Grade 6,SOL,English Reading,230,87.83
2011-2012,39,Greene County,English:Reading,Grade 7,SOL,English Reading,229,87.77
2011-2012,39,Greene County,English:Reading,Grade 8,SOL,English Reading,192,91.15
2011-2012,54,Louisa County,English:Reading,Grade 3,SOL,English Reading,315,81.9
2011-2012,54,Louisa County,English:Reading,Grade 4,SOL,English Reading,338,85.21
2011-2012,54,Louisa County,English:Reading,Grade 5,SOL,English Reading,352,87.22
2011-2012,54,Louisa County,English:Reading,Grade 6,SOL,English Reading,355,90.14
2011-2012,54,Louisa County,English:Reading,Grade 7,SOL,English Reading,310,85.81
2011-2012,54,Louisa County,English:Reading,Grade 8,SOL,English Reading,361,83.38
2011-2012,62,Nelson County,English:Reading,Grade 3,SOL,English Reading,154,81.82
2011-2012,62,Nelson County,English:Reading,Grade 4,SOL,English Reading,143,87.41
2011-2012,62,Nelson County,English:Reading,Grade 5,SOL,English Reading,144,85.42
2011-2012,62,Nelson County,English:Reading,Grade 6,SOL,English Reading,148,87.84
2011-2012,62,Nelson County,English:Reading,Grade 7,SOL,English Reading,148,88.51
2011-2012,62,Nelson County,English:Reading,Grade 8,SOL,English Reading,156,92.31
2012-2013,2,Albemarle County,English:Reading,Grade 3,SOL,English Reading,948,71.1
2012-2013,2,Albemarle County,English:Reading,Grade 4,SOL,English Reading,940,70.64
2012-2013,2,Albemarle County,English:Reading,Grade 5,SOL,English Reading,939,75.93
2012-2013,2,Albemarle County,English:Reading,Grade 6,SOL,English Reading,925,80.86
2012-2013,2,Albemarle County,English:Reading,Grade 7,SOL,English Reading,975,80.41
2012-2013,2,Albemarle County,English:Reading,Grade 8,SOL,English Reading,947,78.88
2012-2013,104,Charlottesville City,English:Reading,Grade 3,SOL,English Reading,291,76.63
2012-2013,104,Charlottesville City,English:Reading,Grade 4,SOL,English Reading,278,70.14
