School Year,Level,Division Number,Division Name,School Number,School Name,Subject,Grade,Test Level,Test Source,Test,Pass Count,Total Count,Pass Rate
2006-2007,School,104,Charlottesville City,100,Buford Middle,English:Reading,8,Grade 8,SOL,English Reading,148,247,59.92
2006-2007,School,104,Charlottesville City,70,Burnley-Moran Elementary,English:Reading,3,Grade 3,SOL,English Reading,50,60,83.33
2006-2007,School,104,Charlottesville City,50,Clark Elementary,English:Reading,3,Grade 3,SOL,English Reading,17,32,53.13
2006-2007,School,104,Charlottesville City,90,Greenbrier Elementary,English:Reading,3,Grade 3,SOL,English Reading,48,50,96.00
2006-2007,School,104,Charlottesville City,120,Jackson - Via Elementary,English:Reading,3,Grade 3,SOL,English Reading,26,38,68.42
2006-2007,School,104,Charlottesville City,10,Johnson Elementary,English:Reading,3,Grade 3,SOL,English Reading,26,31,83.87
2006-2007,School,104,Charlottesville City,40,Venable Elementary,English:Reading,3,Grade 3,SOL,English Reading,38,45,84.44
2006-2007,Division,104,Charlottesville City,,,English:Reading,3,Grade 3,SOL,English Reading,205,257,79.77
2006-2007,Division,104,Charlottesville City,,,English:Reading,4,Grade 3,SOL,English Reading,<,<,>50
2006-2007,Division,104,Charlottesville City,,,English:Reading,8,Grade 8,SOL,English Reading,148,255,58.04
2006-2007,School,32,Fluvanna County,300,Central Elementary,English:Reading,3,Grade 3,SOL,English Reading,220,282,78.01
2006-2007,School,32,Fluvanna County,20,Fluvanna Middle,English:Reading,8,Grade 8,SOL,English Reading,220,268,82.09
2006-2007,Division,32,Fluvanna County,,,English:Reading,3,Grade 3,SOL,English Reading,220,282,78.01
2006-2007,Division,32,Fluvanna County,,,English:Reading,8,Grade 8,SOL,English Reading,222,270,82.22
2006-2007,School,39,Greene County,20,Nathanael Greene Elementary,English:Reading,3,Grade 3,SOL,English Reading,89,118,75.42
2006-2007,School,39,Greene County,30,Ruckersville Elementary,English:Reading,3,Grade 3,SOL,English Reading,61,88,69.32
2006-2007,School,39,Greene County,71,William Monroe Middle,English:Reading,8,Grade 8,SOL,English Reading,141,186,75.81
2006-2007,Division,39,Greene County,,,English:Reading,3,Grade 3,SOL,English Reading,150,206,72.82
2006-2007,Division,39,Greene County,,,English:Reading,8,Grade 8,SOL,English Reading,141,186,75.81
2006-2007,School,54,Louisa County,660,Jouett Elementary,English:Reading,3,Grade 3,SOL,English Reading,79,109,72.48
2006-2007,School,54,Louisa County,601,Louisa County Middle,English:Reading,8,Grade 8,SOL,English Reading,259,369,70.19
2006-2007,School,54,Louisa County,610,Thomas Jefferson Elementary,English:Reading,3,Grade 3,SOL,English Reading,96,120,80.00
2006-2007,School,54,Louisa County,641,Trevilians Elementary,English:Reading,3,Grade 3,SOL,English Reading,80,104,76.92
2006-2007,Division,54,Louisa County,,,English:Reading,3,Grade 3,SOL,English Reading,255,335,76.12
2006-2007,Division,54,Louisa County,,,English:Reading,4,Grade 3,SOL,English Reading,<,<,<50
2006-2007,Division,54,Louisa County,,,English:Reading,8,Grade 8,SOL,English Reading,259,369,70.19
2006-2007,School,62,Nelson County,730,Nelson Middle,English:Reading,8,Grade 8,SOL,English Reading,109,120,90.83
2006-2007,School,62,Nelson County,10,Rockfish River Elementary,English:Reading,3,Grade 3,SOL,English Reading,60,68,88.24
2006-2007,School,62,Nelson County,20,Tye River Elementary,English:Reading,3,Grade 3,SOL,English Reading,65,94,69.15
2006-2007,Division,62,Nelson County,,,English:Reading,3,Grade 3,SOL,English Reading,125,163,76.69
2006-2007,Division,62,Nelson County,,,English:Reading,8,Grade 8,SOL,English Reading,109,121,90.08
2007-2008,School,2,Albemarle County,160,Agnor-Hurt Elementary,English:Reading,3,Grade 3,SOL,English Reading,45,57,78.95
2007-2008,School,2,Albemarle County,1053,Baker-Butler Elementary,English:Reading,3,Grade 3,SOL,English Reading,84,89,94.38
2007-2008,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,English:Reading,3,Grade 3,SOL,English Reading,19,28,67.86
2007-2008,School,2,Albemarle County,100,Broadus Wood Elementary,English:Reading,3,Grade 3,SOL,English Reading,35,45,77.78
